Vegetable Common Name ,Disease Name (Type),Treatment Methods
Tapioca,Red Spider Mite (Arachnid),"Common in TN/Kerala. Tiny red mites infest the underside of leaves. Leaves turn yellowish-brown, dusty, and dry up. Webs may be visible. Treatment: Spray the undersides of leaves with a strong jet of water to wash them off. Spray wettable sulphur or Neem oil. Mites love dust, so keep the field edges clean and dust-free."
Tapioca,Cassava Bacterial Blight (Bacterial),"Major Disease. Angular, water-soaked spots on leaves. Leaves dry up and fall (""candle"" appearance of the stem). Gum oozes from stems. Treatment: Use disease-free stem cuttings. Rotate crops. Remove and burn infected plants. Dip cuttings in hot water (60°C for 20 mins) before planting."
Tapioca,Mealybugs (Insect),"White, cottony masses on stems and leaves. Treatment: Release parasitic wasps (Anagyrus lopezi) if available. Spray neem oil or soap solution. Avoid using broad-spectrum pesticides that kill beneficial insects."
Tapioca,Cassava Brown Streak Disease (Viral Infection),Dark brown dry rot inside the tuber; stems show brown streaks. Use clean planting material. Harvest early.
Tapioca,Tuber Rot (Fungal Infection),"Soft, foul-smelling rot in waterlogged soil. Improve drainage. Harvest in dry weather."
Tapioca,Bacterial Blight (Bacterial Infection),Water-soaked spots on leaves; gum on stems. Use resistant varieties. Clean tools.
Tapioca,Mealybugs (Insect Infestation),White masses on shoot tips; stunts growth. Spray soap solution or Neem oil. Release parasitic wasps.
Tapioca,Scale Insects (Insect Infestation),Scales on stems reduce vigor. Dip cuttings in soap solution before planting.
Tapioca,Root-Knot Nematode (Parasitic Infection),Galls on feeder roots; tubers small. Rotate crops. Apply Neem cake.
Tapioca ,Cassava Mosaic Disease (Viral Infection),Leaves show yellow/green mosaic and curl; tubers fail to bulk. Use virus-free stems. Remove infected plants. Control whiteflies.
Taro,Corm Rot (Fungal),"The plant growth stunts. When harvested, the underground corm (tuber) is soft, mushy, and smells bad. Treatment: Ensure water does not stagnate in the field. Treat seed corms with Trichoderma (bio-agent) or dip in hot water (50°C) before planting. Apply plenty of Neem cake to the soil to suppress soil fungi."
Taro,Corm Rot (Fungal/Bacterial),"Soft, mushy rot of the corm. Ensure drainage. Use clean seed corms."
Taro,Dry Rot (Fungal Infection),"Dry, powdery rot in storage. Cure corms. Store in dry place."
Taro,Dasheen Mosaic Virus (Viral Infection),Feather-like patterns on leaves; deformed corms. Use virus-free suckers. Control aphids.
Taro,Nematodes (Parasitic Infection),Swellings on corm. Solarize soil. Hot water treat seed.
Taro,Aphids (Insect Infestation),Sucking sap; transmitting virus. Spray soap solution.
Taro,Sclerotium Rot (Fungal Infection),White mold at base; corm rots. Deep ploughing. Apply Neem cake.
Taro ,Taro Leaf Blight (Fungal Infection),"Dark, circular lesions on leaves; severe infection rots the corm. Spray Mancozeb. Remove infected leaves."
Teasel Gourd,Anthracnose (Fungal),"Small, dark, sunken spots appear on the leaves and fruits. The vine may yellow and weaken. Treatment: Use disease-free tubers for planting. Provide a strong trellis support to keep vines off the wet ground. Remove infected leaves. Spray Pseudomonas fluorescens (bio-agent) every 10 days."
Teasel Gourd,Anthracnose (Fungal Infection),Sunken spots on fruit. Spray Mancozeb.
Teasel Gourd,Fusarium Wilt (Fungal Infection),Plant dies; roots rot. Rotate crops.
Teasel Gourd,Powdery Mildew (Fungal Infection),White powder on vines. Spray wettable sulfur.
Teasel Gourd,Mosaic Virus (Viral Infection),Deformed fruits. Remove plants. Control aphids.
Teasel Gourd,Fruit Borer (Insect Infestation),Larvae eat fruit. Spray Neem oil.
Teasel Gourd,Nematodes (Parasitic Infection),Galls on roots. Apply Neem cake.
Teasel Gourd ,Fruit Fly (Insect Infestation),Maggots rot the fruit. Bag fruits. Use traps.
Tender Coconut,Rhinoceros Beetle (Insect),"A large black beetle bores into the crown (top) of the tree, chewing through the unopened fronds. When the leaf opens, it has V-shaped cuts. Treatment: Prevention is key. Hook out the beetle from the hole using a metal hook. Fill the hole with a mixture of sand and Neem cake (or salt) to stop re-entry. Hang pheromone traps (""Rhino Lure"") in the garden."
Tender Coconut,Rhinoceros Beetle (Insect Infestation),Beetle bores into the crown; leaves show V-cuts; yield drops. Use pheromone traps. Hook out beetles with a metal rod. Treat crown with Neem oil/sand mix.
Tender Coconut,Red Palm Weevil (Insect Infestation),Larvae bore into the trunk; tree dies. Inject Carbaryl or Neem oil into the trunk. Use pheromone traps.
Tender Coconut,Bud Rot (Fungal Infection),The central heart leaf rots and smells foul; nuts drop. Clean the crown. Apply Bordeaux paste. Protect from heavy rain.
Tender Coconut,Stem Bleeding (Fungal Infection),Reddish-brown liquid oozes from trunk cracks; nuts shrivel. Chisel out infected bark and apply tar. Apply Neem cake to roots.
Tender Coconut,Eriophyid Mite (Arachnid Infestation),Triangular patches on the nut skin; nuts are small and scarred. Apply Neem oil-garlic soap mixture to the bunches. Apply micronutrients to the root.
Tender Coconut,Ganoderma Wilt / Basal Stem Rot (Fungal Infection),Bracket fungi at the base; tree wilts; nuts drop. Dig trench around tree to isolate. Apply Trichoderma and Neem cake.
Tender Coconut,Rat Damage (Rodent Infestation),Rats eat into the tender nuts. Place bromadiolone cakes in the crown. Use metal bands on the trunk to stop climbing.
Tree Tomato,Powdery Mildew (Fungal),"Hill Station Crop (Ooty/Kodaikanal). White powdery growth covers the leaves. Leaves turn yellow and drop, exposing fruits to sunscald. Treatment: Prune the tree to open the canopy for airflow. Spray a mixture of baking soda and water (1 tsp per liter) or wettable sulphur."
Tree Tomato,Aphids (Insect),"Green insects cluster on the undersides of leaves, causing yellowing and distortion. Treatment: Spray neem oil or insecticidal soap. Keep the area weed-free."
Tree Tomato,Powdery Mildew (Fungal Infection),White powdery growth on leaves and fruit stalks; fruits may drop early or develop rough skin. Spray wettable sulfur. Ensure the tree is not too shaded by other canopy trees.
Tree Tomato,Aphids (Insect Infestation),"Green or black insects cluster on fruit stems, sucking sap and leaving sticky honeydew that turns into black sooty mold on the fruit. Spray Neem oil or soapy water."
Tree Tomato,Fruit Fly (Insect Infestation),"Maggots tunnel into the ripening fruit, causing soft rot. Use pheromone traps. Collect and bury fallen fruits. Harvest slightly early if the infestation is severe."
Tree Tomato,Whitefly (Insect Infestation),Small white flies underneath leaves cause sooty mold on fruits and transmit viruses. Spray Neem oil or use yellow sticky traps.
Tree Tomato,Alternaria Fruit Rot (Fungal Infection),"Dark brown or black lesions on the fruit, often starting at the stem end. Avoid bruising the fruit. Store in a cool, dry place. Spray Mancozeb."
Tree Tomato,Mosaic Virus (Viral Infection),"Leaves are mottled; fruits are small, hard, and unevenly ripened. Remove infected trees. Control aphids and whiteflies."
Tree Tomato ,Anthracnose (Fungal Infection),"Dark, sunken, concentric rings appear on the ripe fruit, causing rot. Prune the tree to improve airflow. Spray Copper Oxychloride during fruit set. Harvest fruits immediately when ripe; do not leave them on the tree."
Turmeric,Leaf Roller (Insect Larvae),"Caterpillars roll the leaves into a tube and live inside, eating the green tissue. Treatment: You will see rolled leaves clearly. Squeeze the roll by hand to crush the larva inside. If infestation is high, spray a contact bio-pesticide like Bacillus thuringiensis (Bt)."
Turmeric,Rhizome Rot (Fungal Infection),"The most destructive disease. Rhizomes turn soft, mushy, and water-soaked. Leaves yellow and dry up. Ensure good drainage (raised beds). Drench soil with Copper Oxychloride or Ridomil. Treat seed rhizomes with Trichoderma."
Turmeric,Rhizome Scale (Insect Infestation),"Tiny, hard scales infest rhizomes in the field and storage, sucking sap and causing shriveling. Discard infested seed rhizomes. Dip seeds in Quinalphos or soap solution before storage/planting."
Turmeric,Leaf Spot (Fungal Infection),"Brown spots on leaves reduce photosynthesis, leading to very small, poor-quality rhizomes. Spray Mancozeb or Carbendazim. Mulch with green leaves to prevent soil splash."
Turmeric,Dry Rot / Fusarium (Fungal Infection),Rhizomes appear dry and powdery inside; growth is stunted. Treat seed material with Carbendazim. Solarize the soil before planting. Avoid water stress.
Turmeric,Shoot Borer (Insect Infestation),"Larvae bore into the central shoot, causing ""dead heart."" The rhizome stops growing. Spray Neem oil or Dimethoate. Cut and burn dead shoots."
Turmeric,Root-Knot Nematode (Parasitic Infection),Rhizomes develop lesions and galls; plants look stunted. Apply Neem cake (2 tons/ha) to the soil. Rotate crops with marigolds.
Turmeric,Storage Rot (Fungal Infection),Rhizomes rot in the pit due to moisture/heat. Cure rhizomes properly after harvest. Store in dry sand or sawdust in a ventilated area.
Turnip,Alternaria Leaf Spot (Fungal),"Small yellow spots appear on leaves, which turn brown with concentric rings (target-board shape). Treatment: This happens in cool, wet weather (common in Karnataka hill stations). Remove lower infected leaves. Avoid overhead watering. Rotate crops with non-crucifers (avoid planting after cabbage/cauliflower)."
Turnip,Alternaria Leaf Spot (Fungal Infection),"Dark spots on leaves; infection can travel to the root crown, causing black rot. Spray Chlorothalonil. Remove infected leaves."
Turnip,Black Rot (Bacterial Infection),Veins blacken; the internal root flesh turns grey/black. Use hot-water treated seeds. Rotate crops. Remove infected plants.
Turnip,Soft Rot (Bacterial Infection),"The root turns into a creamy, foul-smelling mush. Avoid overwatering. Harvest carefully to prevent cuts. Store cool and dry."
Turnip,Clubroot (Fungal Infection),"Roots become swollen, misshapen clubs. Apply lime to raise soil pH. Do not plant turnips in infected soil for 5+ years."
Turnip,Root Maggot (Insect Infestation),"Maggots tunnel into the root, leaving brown trails. Use row covers. Apply Neem cake. Rotate crops."
Turnip,Scab (Bacterial Infection),"Rough, corky spots on the root skin. Keep soil moist (don't let it dry out). Avoid alkaline soil."
Turnip,Downy Mildew (Fungal Infection),Internal root discoloration; yellow leaf spots. Spray Mancozeb. Avoid wet foliage.
Winged Bean,Yellow Mosaic Virus (Viral),Bright yellow patches appear on the leaves against the green background. Pods may be deformed. Treatment: Remove the infected plant to stop the spread. This is spread by aphids. Control aphids using yellow sticky traps and neem oil. Keep the area around the trellis weed-free.
Winged Bean,Leaf Spot (Fungal),Brown spots on leaves. Treatment: Remove infected leaves. Improve airflow. Spray mild fungicide if severe.
Winged Bean,Pod Borer (Insect Infestation),Larvae bore holes into the 4-angled pods. Handpick damaged pods. Spray Neem oil.
Winged Bean,False Rust / Synchytrium (Fungal Infection),"Orange galls/warts appear on the leaves and pods, deforming them. Remove infected parts immediately. Spray Mancozeb."
Winged Bean,Anthracnose (Fungal Infection),Black sunken spots on the pods. Spray Copper fungicide. Use clean seeds.
Winged Bean,Powdery Mildew (Fungal Infection),White powder on pods and leaves. Spray wettable sulfur.
Winged Bean,Yellow Mosaic Virus (Viral Infection),Bright yellow patches; deformed pods. Control whiteflies. Remove infected plants.
Winged Bean,Aphids (Insect Infestation),Black aphids on pods causing sooty mold. Spray soapy water.
Winged Bean,Leaf Spot (Fungal Infection),Brown spots; premature leaf fall reduces pod yield. Spray Carbendazim.
Wood Apple,Fruit Drop (Physiological),Young fruits drop off the tree in large numbers before maturing. Treatment: This is often due to moisture stress or Boron deficiency. Water the tree regularly during fruit set; do not let the soil crack. A soil application of Borax (50g per tree) can help retain the fruit.
